symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1103.TW,TWSE:1103,突破上軌,14.20,14.33,15.59,,True,突破上軌,14.20,14.28,17.79,,True
1108.TW,TWSE:1108,跌破下軌,15.00,14.99,,13.72,True,突破上軌,15.00,15.13,15.64,,True
1109.TW,TWSE:1109,突破上軌,15.45,15.55,16.60,,True,跌破下軌,15.45,15.33,,14.47,True
1203.TW,TWSE:1203,跌破下軌,39.35,39.26,,36.78,True,跌破下軌,39.35,39.41,,33.24,True
1216.TW,TWSE:1216,跌破下軌,71.70,71.48,,72.20,False,跌破下軌,71.70,71.08,,66.26,True
1218.TW,TWSE:1218,跌破下軌,18.25,18.22,,17.85,True,突破上軌,18.25,18.41,22.22,,True
1229.TW,TWSE:1229,跌破下軌,45.95,45.90,,39.06,True,跌破下軌,45.95,45.73,,37.95,True
1232.TW,TWSE:1232,突破上軌,146.00,147.42,158.41,,True,突破上軌,146.00,146.65,161.76,,True
1233.TW,TWSE:1233,突破上軌,32.10,32.40,32.50,,True,跌破下軌,32.10,31.82,,28.46,True
1234.TW,TWSE:1234,突破上軌,37.10,37.22,40.73,,True,跌破下軌,37.10,36.89,,34.71,True
1315.TW,TWSE:1315,跌破下軌,64.20,64.14,,62.50,True,跌破下軌,64.20,63.62,,59.53,True
1341.TW,TWSE:1341,跌破下軌,57.50,57.19,,55.20,True,跌破下軌,57.50,57.15,,52.73,True
1410.TW,TWSE:1410,突破上軌,33.70,33.97,40.46,,True,跌破下軌,33.70,33.44,,30.06,True
1417.TW,TWSE:1417,跌破下軌,8.76,8.75,,7.55,True,跌破下軌,8.76,8.69,,7.06,True
1423.TW,TWSE:1423,突破上軌,37.95,38.24,40.35,,True,跌破下軌,37.95,37.61,,29.52,True
1441.TW,TWSE:1441,跌破下軌,10.00,9.92,,9.97,True,跌破下軌,10.00,9.97,,10.00,False
