symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1325.TW,https://www.tradingview.com/symbols/TWSE-1325/,突破上軌,35.80,34.72,43.06,,True,突破上軌,35.80,34.95,43.06,,True
1326.TW,https://www.tradingview.com/symbols/TWSE-1326/,突破上軌,44.10,43.47,41.95,,False,突破上軌,44.10,41.63,55.75,,True
1708.TW,https://www.tradingview.com/symbols/TWSE-1708/,突破上軌,34.40,34.38,35.83,,True,突破上軌,34.40,34.25,42.17,,True
1731.TW,https://www.tradingview.com/symbols/TWSE-1731/,突破上軌,22.20,22.16,22.28,,True,突破上軌,22.20,22.14,25.70,,True
1732.TW,https://www.tradingview.com/symbols/TWSE-1732/,突破上軌,33.40,32.39,33.03,,False,突破上軌,33.40,32.23,35.29,,True
2359.TW,https://www.tradingview.com/symbols/TWSE-2359/,突破上軌,141.50,140.80,175.50,,True,突破上軌,141.50,141.39,184.14,,True
2436.TW,https://www.tradingview.com/symbols/TWSE-2436/,突破上軌,54.70,54.59,62.30,,True,突破上軌,54.70,53.82,67.93,,True
2496.TW,https://www.tradingview.com/symbols/TWSE-2496/,突破上軌,70.90,70.75,76.67,,True,突破上軌,70.90,70.70,91.46,,True
2528.TW,https://www.tradingview.com/symbols/TWSE-2528/,跌破下軌,28.10,28.12,,26.75,True,跌破下軌,28.10,28.40,,26.75,True
2605.TW,https://www.tradingview.com/symbols/TWSE-2605/,突破上軌,31.30,30.82,31.55,,True,突破上軌,31.30,30.96,31.99,,True
2606.TW,https://www.tradingview.com/symbols/TWSE-2606/,突破上軌,66.80,66.02,69.60,,True,突破上軌,66.80,66.02,73.72,,True
3036.TW,https://www.tradingview.com/symbols/TWSE-3036/,突破上軌,165.00,162.87,163.00,,False,突破上軌,165.00,162.57,175.68,,True
3437.TW,https://www.tradingview.com/symbols/TWSE-3437/,突破上軌,16.70,16.47,17.80,,True,突破上軌,16.70,16.45,40.00,,True
3605.TW,https://www.tradingview.com/symbols/TWSE-3605/,突破上軌,69.30,69.13,84.60,,True,突破上軌,69.30,68.04,84.60,,True
4133.TW,https://www.tradingview.com/symbols/TWSE-4133/,突破上軌,29.00,28.12,34.02,,True,突破上軌,29.00,27.52,35.18,,True
4571.TW,https://www.tradingview.com/symbols/TWSE-4571/,突破上軌,202.50,197.47,216.00,,True,突破上軌,202.50,194.37,269.45,,True
4585.TW,https://www.tradingview.com/symbols/TWSE-4585/,突破上軌,396.50,388.87,698.00,,True,突破上軌,396.50,392.02,698.00,,True
4919.TW,https://www.tradingview.com/symbols/TWSE-4919/,突破上軌,66.30,65.13,76.86,,True,突破上軌,66.30,64.22,129.78,,True
4952.TW,https://www.tradingview.com/symbols/TWSE-4952/,突破上軌,42.10,41.37,46.50,,True,突破上軌,42.10,40.92,72.33,,True
5471.TW,https://www.tradingview.com/symbols/TWSE-5471/,突破上軌,40.15,39.87,42.20,,True,突破上軌,40.15,38.87,54.42,,True
6168.TW,https://www.tradingview.com/symbols/TWSE-6168/,突破上軌,24.50,24.48,25.20,,True,突破上軌,24.50,23.45,29.51,,True
6504.TW,https://www.tradingview.com/symbols/TWSE-6504/,突破上軌,49.05,47.60,62.73,,True,突破上軌,49.05,47.58,73.30,,True
6552.TW,https://www.tradingview.com/symbols/TWSE-6552/,突破上軌,30.15,29.73,30.19,,True,突破上軌,30.15,29.23,63.94,,True
6579.TW,https://www.tradingview.com/symbols/TWSE-6579/,突破上軌,118.00,116.95,147.50,,True,突破上軌,118.00,117.74,178.25,,True
9919.TW,https://www.tradingview.com/symbols/TWSE-9919/,突破上軌,19.65,19.06,21.80,,True,突破上軌,19.65,18.87,26.72,,True
6951.TW,https://www.tradingview.com/symbols/TWSE-6951/,突破上軌,78.60,78.20,81.50,,True,突破上軌,78.60,78.20,81.50,,True
2740.TWO,https://www.tradingview.com/symbols/TPEX-2740/,突破上軌,41.70,41.05,37.95,,False,突破上軌,41.70,39.35,73.09,,True
3122.TWO,https://www.tradingview.com/symbols/TPEX-3122/,突破上軌,29.00,28.43,31.95,,True,突破上軌,29.00,27.74,64.00,,True
3373.TWO,https://www.tradingview.com/symbols/TPEX-3373/,突破上軌,20.65,20.03,23.86,,True,突破上軌,20.65,20.00,28.00,,True
3556.TWO,https://www.tradingview.com/symbols/TPEX-3556/,突破上軌,45.55,45.41,43.90,,False,突破上軌,45.55,44.25,58.98,,True
4558.TWO,https://www.tradingview.com/symbols/TPEX-4558/,突破上軌,21.35,20.94,30.00,,True,突破上軌,21.35,21.19,46.28,,True
4735.TWO,https://www.tradingview.com/symbols/TPEX-4735/,突破上軌,33.95,33.91,37.38,,True,突破上軌,33.95,33.93,46.17,,True
5324.TWO,https://www.tradingview.com/symbols/TPEX-5324/,突破上軌,11.45,11.35,15.00,,True,突破上軌,11.45,11.32,16.60,,True
6146.TWO,https://www.tradingview.com/symbols/TPEX-6146/,突破上軌,182.00,181.97,191.50,,True,突破上軌,182.00,180.50,266.99,,True
6207.TWO,https://www.tradingview.com/symbols/TPEX-6207/,突破上軌,62.20,61.31,73.00,,True,突破上軌,62.20,60.19,87.15,,True
6494.TWO,https://www.tradingview.com/symbols/TPEX-6494/,突破上軌,40.30,39.97,43.80,,True,突破上軌,40.30,39.56,86.78,,True
6661.TWO,https://www.tradingview.com/symbols/TPEX-6661/,突破上軌,19.55,19.53,24.05,,True,突破上軌,19.55,19.49,39.40,,True
6811.TWO,https://www.tradingview.com/symbols/TPEX-6811/,突破上軌,222.50,220.16,270.00,,True,突破上軌,222.50,221.27,334.08,,True
