symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1512.TW,https://www.tradingview.com/symbols/TWSE-1512/,突破上軌,9.17,9.01,10.20,,True,突破上軌,9.17,8.79,12.00,,True,突破上軌,9.17,9.01,18.04,,True
1809.TW,https://www.tradingview.com/symbols/TWSE-1809/,突破上軌,27.50,27.16,25.00,,False,突破上軌,27.50,25.89,35.34,,True,突破上軌,27.50,25.57,35.34,,True
2489.TW,https://www.tradingview.com/symbols/TWSE-2489/,突破上軌,19.15,18.87,18.00,,False,突破上軌,19.15,18.33,27.29,,True,突破上軌,19.15,18.04,27.29,,True
3049.TW,https://www.tradingview.com/symbols/TWSE-3049/,突破上軌,9.21,9.05,8.41,,False,突破上軌,9.21,8.85,13.25,,True,突破上軌,9.21,8.61,18.83,,True
3149.TW,https://www.tradingview.com/symbols/TWSE-3149/,突破上軌,51.80,51.67,49.60,,False,突破上軌,51.80,50.38,49.60,,False,突破上軌,51.80,49.51,83.52,,True
3432.TW,https://www.tradingview.com/symbols/TWSE-3432/,突破上軌,21.15,21.01,19.25,,False,突破上軌,21.15,19.88,32.20,,True,突破上軌,21.15,19.56,54.19,,True
6770.TW,https://www.tradingview.com/symbols/TWSE-6770/,突破上軌,68.20,66.88,62.00,,False,突破上軌,68.20,65.95,56.40,,False,突破上軌,68.20,61.63,80.93,,True
4528.TWO,https://www.tradingview.com/symbols/TPEX-4528/,突破上軌,21.65,21.14,22.35,,True,突破上軌,21.65,20.50,30.93,,True,突破上軌,21.65,21.31,46.33,,True
5381.TWO,https://www.tradingview.com/symbols/TPEX-5381/,突破上軌,33.45,33.36,30.95,,False,突破上軌,33.45,31.93,41.50,,True,突破上軌,33.45,32.81,41.50,,True
6122.TWO,https://www.tradingview.com/symbols/TPEX-6122/,突破上軌,62.70,62.08,59.60,,False,突破上軌,62.70,61.34,62.06,,False,突破上軌,62.70,59.23,65.01,,True
6751.TWO,https://www.tradingview.com/symbols/TPEX-6751/,突破上軌,65.30,64.57,68.00,,True,突破上軌,65.30,64.53,79.60,,True,突破上軌,65.30,63.90,130.71,,True
8933.TWO,https://www.tradingview.com/symbols/TPEX-8933/,突破上軌,8.00,7.80,7.28,,False,突破上軌,8.00,7.56,11.85,,True,突破上軌,8.00,7.72,24.95,,True
