symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1301.TW,https://www.tradingview.com/symbols/TWSE-1301/,突破上軌,51.30,49.47,72.14,,True,突破上軌,51.30,49.56,103.43,,True
1304.TW,https://www.tradingview.com/symbols/TWSE-1304/,突破上軌,12.50,12.39,18.16,,True,突破上軌,12.50,12.35,36.95,,True
1326.TW,https://www.tradingview.com/symbols/TWSE-1326/,突破上軌,44.10,41.63,55.75,,True,突破上軌,44.10,42.19,81.92,,True
1434.TW,https://www.tradingview.com/symbols/TWSE-1434/,突破上軌,17.35,17.16,22.74,,True,突破上軌,17.35,17.06,28.36,,True
1471.TW,https://www.tradingview.com/symbols/TWSE-1471/,突破上軌,13.90,13.40,19.25,,True,突破上軌,13.90,13.25,23.65,,True
1503.TW,https://www.tradingview.com/symbols/TWSE-1503/,突破上軌,246.00,242.19,345.56,,True,突破上軌,246.00,239.13,345.56,,True
1708.TW,https://www.tradingview.com/symbols/TWSE-1708/,突破上軌,34.40,34.25,42.17,,True,突破上軌,34.40,34.06,58.47,,True
1732.TW,https://www.tradingview.com/symbols/TWSE-1732/,突破上軌,33.40,32.23,35.29,,True,突破上軌,33.40,33.28,52.39,,True
2049.TW,https://www.tradingview.com/symbols/TWSE-2049/,突破上軌,259.50,252.22,367.17,,True,突破上軌,259.50,252.77,395.98,,True
2431.TW,https://www.tradingview.com/symbols/TWSE-2431/,突破上軌,16.85,16.15,21.25,,True,突破上軌,16.85,15.76,21.25,,True
2486.TW,https://www.tradingview.com/symbols/TWSE-2486/,突破上軌,131.00,123.18,150.55,,True,突破上軌,131.00,122.08,150.55,,True
2605.TW,https://www.tradingview.com/symbols/TWSE-2605/,突破上軌,31.30,30.96,31.99,,True,突破上軌,31.30,30.49,50.05,,True
2945.TW,https://www.tradingview.com/symbols/TWSE-2945/,突破上軌,42.10,41.28,44.37,,True,突破上軌,42.10,41.16,95.04,,True
3588.TW,https://www.tradingview.com/symbols/TWSE-3588/,突破上軌,58.70,58.30,116.31,,True,突破上軌,58.70,57.63,141.05,,True
6133.TW,https://www.tradingview.com/symbols/TWSE-6133/,突破上軌,28.95,27.82,27.38,,False,突破上軌,28.95,26.56,30.74,,True
6202.TW,https://www.tradingview.com/symbols/TWSE-6202/,突破上軌,52.90,49.89,64.40,,True,突破上軌,52.90,51.15,122.66,,True
6446.TW,https://www.tradingview.com/symbols/TWSE-6446/,突破上軌,700.00,676.87,715.75,,True,突破上軌,700.00,650.46,715.75,,True
3556.TWO,https://www.tradingview.com/symbols/TPEX-3556/,突破上軌,45.55,44.25,58.98,,True,突破上軌,45.55,44.52,86.55,,True
4121.TWO,https://www.tradingview.com/symbols/TPEX-4121/,突破上軌,19.10,18.27,27.73,,True,突破上軌,19.10,18.36,34.54,,True
4533.TWO,https://www.tradingview.com/symbols/TPEX-4533/,突破上軌,41.25,40.13,51.63,,True,突破上軌,41.25,37.00,51.63,,True
4534.TWO,https://www.tradingview.com/symbols/TPEX-4534/,突破上軌,25.30,24.33,31.85,,True,突破上軌,25.30,24.47,31.85,,True
6423.TWO,https://www.tradingview.com/symbols/TPEX-6423/,突破上軌,112.50,111.24,129.83,,True,突破上軌,112.50,110.09,171.23,,True
6492.TWO,https://www.tradingview.com/symbols/TPEX-6492/,突破上軌,61.10,59.49,64.50,,True,突破上軌,61.10,57.51,206.00,,True
7709.TWO,https://www.tradingview.com/symbols/TPEX-7709/,突破上軌,52.60,50.03,66.70,,True,突破上軌,52.60,49.02,66.70,,True
8096.TWO,https://www.tradingview.com/symbols/TPEX-8096/,突破上軌,64.20,61.46,80.82,,True,突破上軌,64.20,63.63,80.82,,True
