symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1225.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A1225,跌破下軌,28.50,28.65,,27.74,True,跌破下軌,28.50,28.53,,26.27,True
2007.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2007,突破上軌,7.99,7.83,9.17,,True,突破上軌,7.99,7.82,13.70,,True
2025.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2025,突破上軌,10.30,10.10,17.05,,True,突破上軌,10.30,10.27,23.86,,True
2030.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2030,突破上軌,14.80,14.67,15.34,,True,突破上軌,14.80,14.59,18.86,,True
3308.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3308,突破上軌,20.10,19.53,20.20,,True,突破上軌,20.10,18.90,47.74,,True
3550.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3550,突破上軌,16.60,16.49,16.40,,False,突破上軌,16.60,16.12,31.90,,True
4912.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A4912,突破上軌,96.70,94.92,93.76,,False,突破上軌,96.70,96.35,160.51,,True
8438.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A8438,突破上軌,41.90,41.22,38.10,,False,突破上軌,41.90,38.89,52.26,,True
2035.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A2035,突破上軌,30.50,30.02,32.00,,True,突破上軌,30.50,29.96,35.00,,True
3219.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3219,突破上軌,75.90,74.06,112.00,,True,突破上軌,75.90,72.57,112.00,,True
3455.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3455,突破上軌,112.50,109.10,112.00,,False,突破上軌,112.50,108.81,139.70,,True
3623.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3623,突破上軌,23.65,23.25,27.35,,True,突破上軌,23.65,23.42,51.00,,True
4987.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A4987,突破上軌,72.80,72.41,84.02,,True,突破上軌,72.80,72.41,91.25,,True
5013.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5013,跌破下軌,27.90,28.03,,24.98,True,跌破下軌,27.90,27.91,,24.98,True
5263.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5263,突破上軌,103.50,100.86,110.38,,True,突破上軌,103.50,102.10,202.83,,True
5386.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5386,突破上軌,91.50,89.91,85.00,,False,突破上軌,91.50,88.27,101.94,,True
6233.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6233,突破上軌,25.50,25.20,25.80,,True,突破上軌,25.50,24.93,48.67,,True
6461.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6461,突破上軌,17.80,17.70,23.00,,True,突破上軌,17.80,17.74,34.60,,True
8068.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A8068,突破上軌,28.90,28.79,26.70,,False,突破上軌,28.90,26.92,45.00,,True
8093.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A8093,跌破下軌,21.67,22.03,,20.50,True,跌破下軌,13.00,13.74,,20.50,False
