symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1517.TW,https://www.tradingview.com/symbols/TWSE-1517/,突破上軌,13.45,13.11,15.05,,True,突破上軌,12.25,12.22,18.69,,True,突破上軌,13.45,13.12,31.01,,True
1524.TW,https://www.tradingview.com/symbols/TWSE-1524/,突破上軌,35.15,34.74,35.30,,True,突破上軌,32.95,32.45,42.88,,True,突破上軌,35.15,34.94,42.87,,True
1539.TW,https://www.tradingview.com/symbols/TWSE-1539/,突破上軌,21.55,20.92,20.01,,False,突破上軌,19.60,18.96,34.28,,True,突破上軌,21.55,20.86,42.00,,True
1568.TW,https://www.tradingview.com/symbols/TWSE-1568/,突破上軌,26.80,26.63,25.75,,False,突破上軌,25.75,25.10,34.21,,True,突破上軌,26.80,25.97,36.37,,True
1809.TW,https://www.tradingview.com/symbols/TWSE-1809/,突破上軌,25.00,24.46,22.75,,False,突破上軌,22.75,21.69,35.34,,True,突破上軌,25.00,23.94,35.34,,True
2369.TW,https://www.tradingview.com/symbols/TWSE-2369/,突破上軌,30.95,30.55,29.50,,False,突破上軌,28.15,27.84,30.31,,True,突破上軌,30.95,29.38,30.31,,False
2409.TW,https://www.tradingview.com/symbols/TWSE-2409/,突破上軌,17.25,17.21,17.50,,True,突破上軌,15.70,15.44,18.60,,True,突破上軌,17.25,16.12,32.45,,True
2489.TW,https://www.tradingview.com/symbols/TWSE-2489/,突破上軌,18.00,17.94,18.00,,False,突破上軌,16.40,16.30,27.29,,True,突破上軌,18.00,17.27,27.29,,True
3189.TW,https://www.tradingview.com/symbols/TWSE-3189/,突破上軌,211.50,206.23,192.50,,False,突破上軌,192.50,189.24,186.00,,False,突破上軌,211.50,205.89,230.22,,True
3432.TW,https://www.tradingview.com/symbols/TWSE-3432/,突破上軌,19.25,18.84,17.80,,False,突破上軌,17.50,16.63,32.20,,True,突破上軌,19.25,18.24,54.19,,True
6226.TW,https://www.tradingview.com/symbols/TWSE-6226/,突破上軌,10.05,9.82,9.15,,False,突破上軌,9.15,8.82,12.40,,True,突破上軌,10.05,9.37,20.12,,True
6606.TW,https://www.tradingview.com/symbols/TWSE-6606/,突破上軌,26.80,26.48,28.15,,True,突破上軌,25.75,25.66,34.12,,True,突破上軌,26.80,26.72,34.12,,True
6770.TW,https://www.tradingview.com/symbols/TWSE-6770/,突破上軌,62.00,60.37,56.40,,False,突破上軌,56.40,54.50,50.50,,False,突破上軌,62.00,57.80,80.93,,True
3567.TWO,https://www.tradingview.com/symbols/TPEX-3567/,突破上軌,32.15,31.22,29.25,,False,突破上軌,29.25,28.43,39.64,,True,突破上軌,32.15,30.72,43.72,,True
5452.TWO,https://www.tradingview.com/symbols/TPEX-5452/,突破上軌,37.00,36.74,34.85,,False,突破上軌,34.85,34.64,45.48,,True,突破上軌,37.00,35.71,45.28,,True
8083.TWO,https://www.tradingview.com/symbols/TPEX-8083/,突破上軌,167.00,166.61,164.00,,False,突破上軌,164.00,162.72,171.22,,True,突破上軌,167.00,166.11,171.22,,True
