symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1432.TW,https://tw.tradingview.com/symbols/TWSE-1432/,突破上軌,19.15,19.13,25.00,,False,突破上軌,19.15,19.26,25.00,,False
1434.TW,https://tw.tradingview.com/symbols/TWSE-1434/,突破上軌,17.50,17.54,22.41,,False,突破上軌,17.50,17.37,28.36,,False
1535.TW,https://tw.tradingview.com/symbols/TWSE-1535/,跌破下軌,45.00,45.98,,46.30,True,跌破下軌,45.00,46.95,,27.04,False
1708.TW,https://tw.tradingview.com/symbols/TWSE-1708/,突破上軌,35.00,34.91,42.17,,False,突破上軌,35.00,34.82,58.47,,False
2436.TW,https://tw.tradingview.com/symbols/TWSE-2436/,突破上軌,58.00,57.02,67.93,,False,突破上軌,58.00,56.92,101.79,,False
2897.TW,https://tw.tradingview.com/symbols/TWSE-2897/,突破上軌,9.40,9.37,10.12,,False,突破上軌,9.40,9.46,10.12,,False
3036.TW,https://tw.tradingview.com/symbols/TWSE-3036/,突破上軌,168.50,167.01,170.98,,False,突破上軌,168.50,169.87,175.68,,False
3209.TW,https://tw.tradingview.com/symbols/TWSE-3209/,突破上軌,37.30,37.01,40.94,,False,突破上軌,37.30,37.44,40.94,,False
5203.TW,https://tw.tradingview.com/symbols/TWSE-5203/,跌破下軌,75.80,76.59,,77.27,True,跌破下軌,75.80,75.19,,64.24,False
6202.TW,https://tw.tradingview.com/symbols/TWSE-6202/,突破上軌,53.70,53.14,64.40,,False,突破上軌,53.70,52.68,122.66,,False
6426.TW,https://tw.tradingview.com/symbols/TWSE-6426/,突破上軌,141.00,140.25,133.00,,True,突破上軌,141.00,137.46,122.50,,True
6830.TW,https://tw.tradingview.com/symbols/TWSE-6830/,突破上軌,222.00,218.82,230.51,,False,突破上軌,222.00,223.35,230.51,,False
9942.TW,https://tw.tradingview.com/symbols/TWSE-9942/,突破上軌,120.50,119.58,125.64,,False,突破上軌,120.50,119.03,139.28,,False
2230.TWO,https://tw.tradingview.com/symbols/TPEX-2230/,跌破下軌,62.00,65.83,,73.28,True,跌破下軌,62.00,69.56,,9.52,False
3163.TWO,https://tw.tradingview.com/symbols/TPEX-3163/,突破上軌,567.00,553.28,495.00,,True,突破上軌,567.00,569.64,495.00,,True
3234.TWO,https://tw.tradingview.com/symbols/TPEX-3234/,突破上軌,76.00,74.79,66.60,,True,突破上軌,76.00,72.06,64.60,,True
3526.TWO,https://tw.tradingview.com/symbols/TPEX-3526/,突破上軌,286.50,280.18,278.87,,True,突破上軌,286.50,278.89,278.87,,True
4188.TWO,https://tw.tradingview.com/symbols/TPEX-4188/,跌破下軌,13.75,13.62,,12.30,False,跌破下軌,13.75,13.64,,12.30,False
4911.TWO,https://tw.tradingview.com/symbols/TPEX-4911/,跌破下軌,38.00,37.76,,40.50,True,跌破下軌,38.00,37.68,,19.14,False
5386.TWO,https://tw.tradingview.com/symbols/TPEX-5386/,突破上軌,145.00,139.04,122.50,,True,突破上軌,145.00,131.23,101.41,,True
5475.TWO,https://tw.tradingview.com/symbols/TPEX-5475/,突破上軌,148.50,148.71,146.00,,True,突破上軌,148.50,146.85,119.50,,True
5523.TWO,https://tw.tradingview.com/symbols/TPEX-5523/,突破上軌,30.50,30.58,34.00,,False,突破上軌,30.50,30.65,34.00,,False
6588.TWO,https://tw.tradingview.com/symbols/TPEX-6588/,突破上軌,84.20,82.25,75.80,,True,突破上軌,84.20,80.28,138.99,,False
6615.TWO,https://tw.tradingview.com/symbols/TPEX-6615/,突破上軌,34.35,34.50,85.24,,False,突破上軌,34.35,34.56,85.01,,False
6651.TWO,https://tw.tradingview.com/symbols/TPEX-6651/,突破上軌,99.00,99.86,108.95,,False,突破上軌,99.00,97.21,125.82,,False
6716.TWO,https://tw.tradingview.com/symbols/TPEX-6716/,突破上軌,66.60,64.82,133.87,,False,突破上軌,66.60,65.57,161.10,,False
7734.TWO,https://tw.tradingview.com/symbols/TPEX-7734/,突破上軌,1465.00,1456.37,1528.58,,False,突破上軌,1465.00,1370.11,1528.58,,False
8147.TWO,https://tw.tradingview.com/symbols/TPEX-8147/,突破上軌,129.00,126.68,160.50,,False,突破上軌,129.00,128.38,157.58,,False
