symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1337.TW,https://www.tradingview.com/symbols/TWSE-1337/,突破上軌,5.33,5.21,6.99,,True,突破上軌,5.33,5.23,8.29,,True
1413.TW,https://www.tradingview.com/symbols/TWSE-1413/,跌破下軌,9.80,9.82,,9.50,True,跌破下軌,9.80,9.82,,8.63,True
1473.TW,https://www.tradingview.com/symbols/TWSE-1473/,突破上軌,27.10,26.38,33.15,,True,突破上軌,27.10,26.44,51.87,,True
1514.TW,https://www.tradingview.com/symbols/TWSE-1514/,突破上軌,139.50,139.45,129.50,,False,突破上軌,139.50,131.22,171.74,,True
2351.TW,https://www.tradingview.com/symbols/TWSE-2351/,突破上軌,86.00,85.99,96.40,,True,突破上軌,86.00,84.71,164.61,,True
2363.TW,https://www.tradingview.com/symbols/TWSE-2363/,突破上軌,56.90,55.61,66.60,,True,突破上軌,56.90,54.94,108.37,,True
2395.TW,https://www.tradingview.com/symbols/TWSE-2395/,跌破下軌,275.00,276.05,,271.00,True,跌破下軌,275.00,275.42,,271.00,True
2457.TW,https://www.tradingview.com/symbols/TWSE-2457/,突破上軌,37.00,36.45,35.00,,False,突破上軌,37.00,35.49,63.20,,True
2477.TW,https://www.tradingview.com/symbols/TWSE-2477/,突破上軌,26.70,26.54,28.25,,True,突破上軌,26.70,26.44,38.51,,True
2489.TW,https://www.tradingview.com/symbols/TWSE-2489/,突破上軌,21.05,20.65,19.80,,False,突破上軌,21.05,19.64,27.29,,True
2645.TW,https://www.tradingview.com/symbols/TWSE-2645/,突破上軌,177.00,172.56,222.50,,True,突破上軌,177.00,170.49,222.50,,True
2739.TW,https://www.tradingview.com/symbols/TWSE-2739/,跌破下軌,33.65,33.68,,34.10,False,跌破下軌,33.65,33.78,,32.22,True
2838.TW,https://www.tradingview.com/symbols/TWSE-2838/,跌破下軌,18.30,18.34,,14.92,True,跌破下軌,18.30,18.34,,11.74,True
3043.TW,https://www.tradingview.com/symbols/TWSE-3043/,突破上軌,24.90,24.38,29.95,,True,突破上軌,24.90,24.36,47.30,,True
3049.TW,https://www.tradingview.com/symbols/TWSE-3049/,突破上軌,10.10,9.99,9.21,,False,突破上軌,10.10,9.44,13.25,,True
3094.TW,https://www.tradingview.com/symbols/TWSE-3094/,突破上軌,26.35,26.27,29.51,,True,突破上軌,26.35,26.22,39.89,,True
3494.TW,https://www.tradingview.com/symbols/TWSE-3494/,突破上軌,10.90,10.62,15.80,,True,突破上軌,10.90,10.60,20.60,,True
3518.TW,https://www.tradingview.com/symbols/TWSE-3518/,突破上軌,23.45,22.95,26.30,,True,突破上軌,23.45,23.30,43.50,,True
3704.TW,https://www.tradingview.com/symbols/TWSE-3704/,突破上軌,39.65,38.54,40.60,,True,突破上軌,39.65,38.84,49.57,,True
4540.TW,https://www.tradingview.com/symbols/TWSE-4540/,突破上軌,49.85,49.22,52.30,,True,突破上軌,49.85,46.44,65.00,,True
4934.TW,https://www.tradingview.com/symbols/TWSE-4934/,突破上軌,16.65,16.32,17.65,,True,突破上軌,16.65,16.42,26.80,,True
5285.TW,https://www.tradingview.com/symbols/TWSE-5285/,突破上軌,54.50,54.21,56.20,,True,突破上軌,54.50,54.12,69.96,,True
6415.TW,https://www.tradingview.com/symbols/TWSE-6415/,突破上軌,268.50,267.76,425.00,,True,突破上軌,268.50,261.63,570.85,,True
6753.TW,https://www.tradingview.com/symbols/TWSE-6753/,突破上軌,161.50,156.90,214.00,,True,突破上軌,161.50,159.11,214.00,,True
7780.TW,https://www.tradingview.com/symbols/TWSE-7780/,突破上軌,24.55,24.09,33.58,,True,突破上軌,24.55,23.03,33.58,,True
8201.TW,https://www.tradingview.com/symbols/TWSE-8201/,突破上軌,15.75,15.50,19.75,,True,突破上軌,15.75,15.57,21.50,,True
8249.TW,https://www.tradingview.com/symbols/TWSE-8249/,突破上軌,62.10,61.37,70.30,,True,突破上軌,62.10,59.68,74.00,,True
6854.TW,https://www.tradingview.com/symbols/TWSE-6854/,跌破下軌,112.50,113.17,,119.00,False,跌破下軌,112.50,115.12,,60.00,True
3317.TWO,https://www.tradingview.com/symbols/TPEX-3317/,突破上軌,57.30,56.93,61.00,,True,突破上軌,57.30,54.45,61.00,,True
3434.TWO,https://www.tradingview.com/symbols/TPEX-3434/,突破上軌,36.00,35.83,72.42,,True,突破上軌,36.00,34.92,72.42,,True
3631.TWO,https://www.tradingview.com/symbols/TPEX-3631/,突破上軌,29.70,29.67,31.35,,True,突破上軌,29.70,28.43,51.00,,True
3707.TWO,https://www.tradingview.com/symbols/TPEX-3707/,突破上軌,67.10,65.74,70.70,,True,突破上軌,67.10,64.53,79.70,,True
4502.TWO,https://www.tradingview.com/symbols/TPEX-4502/,突破上軌,17.35,17.02,19.60,,True,突破上軌,17.35,16.97,38.00,,True
5299.TWO,https://www.tradingview.com/symbols/TPEX-5299/,突破上軌,79.80,79.44,84.60,,True,突破上軌,79.80,78.14,120.50,,True
6129.TWO,https://www.tradingview.com/symbols/TPEX-6129/,突破上軌,16.50,16.21,18.70,,True,突破上軌,16.50,16.20,29.62,,True
6482.TWO,https://www.tradingview.com/symbols/TPEX-6482/,跌破下軌,37.80,38.02,,36.95,True,跌破下軌,37.80,37.92,,34.35,True
6733.TWO,https://www.tradingview.com/symbols/TPEX-6733/,跌破下軌,36.65,36.70,,27.00,True,跌破下軌,36.65,36.87,,23.20,True
8086.TWO,https://www.tradingview.com/symbols/TPEX-8086/,突破上軌,124.00,123.79,125.50,,True,突破上軌,124.00,123.80,161.71,,True
8277.TWO,https://www.tradingview.com/symbols/TPEX-8277/,突破上軌,10.80,10.47,16.65,,True,突破上軌,10.80,10.61,18.90,,True
8933.TWO,https://www.tradingview.com/symbols/TPEX-8933/,突破上軌,8.80,8.71,8.00,,False,突破上軌,8.80,8.12,11.85,,True
