symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
3006.TW,https://www.tradingview.com/symbols/TWSE-3006/,突破上軌,129.50,123.28,106.00,,False,突破上軌,139.00,138.56,182.69,,True
3308.TW,https://www.tradingview.com/symbols/TWSE-3308/,突破上軌,22.10,20.33,47.74,,True,突破上軌,22.80,22.50,79.99,,True
3481.TW,https://www.tradingview.com/symbols/TWSE-3481/,突破上軌,18.10,17.06,16.84,,False,突破上軌,19.90,19.33,29.45,,True
4720.TW,https://www.tradingview.com/symbols/TWSE-4720/,突破上軌,16.60,16.17,23.44,,True,突破上軌,18.25,17.78,23.44,,True
4912.TW,https://www.tradingview.com/symbols/TWSE-4912/,突破上軌,105.50,101.69,160.51,,True,突破上軌,106.50,104.21,161.82,,True
5538.TW,https://www.tradingview.com/symbols/TWSE-5538/,突破上軌,30.90,30.78,38.88,,True,突破上軌,31.20,31.13,55.29,,True
6116.TW,https://www.tradingview.com/symbols/TWSE-6116/,突破上軌,7.99,7.89,12.70,,True,突破上軌,8.78,8.66,27.54,,True
8438.TW,https://www.tradingview.com/symbols/TWSE-8438/,突破上軌,46.05,41.87,52.26,,True,突破上軌,49.40,46.85,58.53,,True
9941.TW,https://www.tradingview.com/symbols/TWSE-9941/,跌破下軌,83.90,85.54,,82.83,True,跌破下軌,81.30,81.72,,52.38,True
3360.TWO,https://www.tradingview.com/symbols/TPEX-3360/,突破上軌,15.20,14.70,24.25,,True,突破上軌,15.75,15.23,24.25,,True
3623.TWO,https://www.tradingview.com/symbols/TPEX-3623/,突破上軌,26.00,24.92,51.00,,True,突破上軌,28.60,28.24,54.70,,True
3680.TWO,https://www.tradingview.com/symbols/TPEX-3680/,突破上軌,371.00,368.88,592.56,,True,突破上軌,408.00,404.65,592.56,,True
5351.TWO,https://www.tradingview.com/symbols/TPEX-5351/,突破上軌,55.80,52.74,57.60,,True,突破上軌,61.30,59.52,95.90,,True
6124.TWO,https://www.tradingview.com/symbols/TPEX-6124/,突破上軌,28.10,27.60,48.00,,True,突破上軌,30.90,30.83,53.30,,True
