symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1467.TW,https://www.tradingview.com/symbols/TWSE-1467/,突破上軌,8.00,7.88,9.61,,True,突破上軌,8.00,7.76,12.55,,True
1471.TW,https://www.tradingview.com/symbols/TWSE-1471/,突破上軌,10.05,9.90,11.65,,True,突破上軌,10.05,9.83,19.25,,True
1714.TW,https://www.tradingview.com/symbols/TWSE-1714/,突破上軌,8.97,8.77,8.71,,False,突破上軌,8.97,8.82,10.09,,True
1789.TW,https://www.tradingview.com/symbols/TWSE-1789/,突破上軌,22.70,22.15,20.65,,False,突破上軌,22.70,21.28,29.57,,True
3027.TW,https://www.tradingview.com/symbols/TWSE-3027/,突破上軌,25.90,25.53,41.50,,True,突破上軌,25.90,25.46,50.30,,True
3588.TW,https://www.tradingview.com/symbols/TWSE-3588/,突破上軌,54.20,52.75,59.30,,True,突破上軌,54.20,53.30,116.31,,True
4994.TW,https://www.tradingview.com/symbols/TWSE-4994/,突破上軌,101.50,100.62,111.04,,True,突破上軌,101.50,100.91,136.57,,True
5013.TWO,https://www.tradingview.com/symbols/TPEX-5013/,突破上軌,29.35,29.33,32.50,,True,突破上軌,29.35,29.32,33.98,,True
5014.TWO,https://www.tradingview.com/symbols/TPEX-5014/,突破上軌,11.25,11.18,13.38,,True,突破上軌,11.25,11.06,19.75,,True
5213.TWO,https://www.tradingview.com/symbols/TPEX-5213/,突破上軌,25.65,25.46,33.56,,True,突破上軌,25.65,25.45,48.34,,True
5302.TWO,https://www.tradingview.com/symbols/TPEX-5302/,突破上軌,10.30,10.08,10.90,,True,突破上軌,10.30,10.10,15.80,,True
5347.TWO,https://www.tradingview.com/symbols/TPEX-5347/,突破上軌,109.00,108.52,108.00,,False,突破上軌,109.00,106.04,136.77,,True
5465.TWO,https://www.tradingview.com/symbols/TPEX-5465/,突破上軌,31.75,31.22,44.50,,True,突破上軌,31.75,31.16,49.17,,True
5543.TWO,https://www.tradingview.com/symbols/TPEX-5543/,突破上軌,33.55,32.66,31.30,,False,突破上軌,33.55,32.55,49.25,,True
5864.TWO,https://www.tradingview.com/symbols/TPEX-5864/,突破上軌,17.45,17.43,16.90,,False,突破上軌,17.45,17.31,20.11,,True
5902.TWO,https://www.tradingview.com/symbols/TPEX-5902/,跌破下軌,41.85,42.31,,40.86,True,跌破下軌,41.85,42.55,,29.89,True
6015.TWO,https://www.tradingview.com/symbols/TPEX-6015/,突破上軌,12.35,12.02,11.50,,False,突破上軌,12.35,11.97,13.02,,True
6020.TWO,https://www.tradingview.com/symbols/TPEX-6020/,突破上軌,19.80,19.61,20.80,,True,突破上軌,19.80,19.68,20.80,,True
6026.TWO,https://www.tradingview.com/symbols/TPEX-6026/,突破上軌,14.10,14.04,13.75,,False,突破上軌,14.10,13.97,14.58,,True
6264.TWO,https://www.tradingview.com/symbols/TPEX-6264/,跌破下軌,7.11,7.12,,6.85,True,跌破下軌,7.11,7.14,,6.85,True
6616.TWO,https://www.tradingview.com/symbols/TPEX-6616/,突破上軌,10.85,10.60,11.00,,True,突破上軌,10.85,10.59,17.70,,True
6720.TWO,https://www.tradingview.com/symbols/TPEX-6720/,跌破下軌,118.00,118.18,,111.10,True,跌破下軌,118.00,118.33,,59.27,True
