symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1216.TW,TWSE:1216,跌破下軌,71.70,71.48,,72.20,False,跌破下軌,71.70,71.08,,66.26,True,跌破下軌,71.70,72.20,,53.91,True
1590.TW,TWSE:1590,突破上軌,1140.00,1110.54,1065.00,,False,突破上軌,1140.00,1120.24,1231.14,,True,突破上軌,1140.00,1104.36,1231.14,,True
2007.TW,TWSE:2007,突破上軌,9.03,9.04,9.17,,True,突破上軌,9.03,8.89,13.65,,True,突破上軌,9.03,9.03,34.90,,True
2013.TW,TWSE:2013,突破上軌,42.95,43.18,45.00,,True,突破上軌,42.95,43.07,63.28,,True,突破上軌,42.95,43.07,70.52,,True
2014.TW,TWSE:2014,突破上軌,19.75,19.49,18.75,,False,突破上軌,19.75,18.94,26.15,,True,突破上軌,19.75,18.85,56.90,,True
2032.TW,TWSE:2032,突破上軌,17.95,17.90,18.25,,True,突破上軌,17.95,18.06,21.81,,True,突破上軌,17.95,17.36,41.81,,True
2038.TW,TWSE:2038,突破上軌,16.55,16.35,16.86,,True,突破上軌,16.55,16.22,22.84,,True,突破上軌,16.55,16.59,60.01,,True
2442.TW,TWSE:2442,跌破下軌,21.25,21.08,,21.25,False,跌破下軌,21.25,21.07,,18.45,True,跌破下軌,21.25,21.22,,7.79,True
2536.TW,TWSE:2536,跌破下軌,22.45,22.27,,22.30,True,跌破下軌,22.45,22.35,,23.00,False,跌破下軌,22.45,22.72,,17.94,True
9911.TW,TWSE:9911,跌破下軌,83.20,83.21,,82.00,True,跌破下軌,83.20,82.77,,63.04,True,跌破下軌,83.20,82.58,,38.36,True
9942.TW,TWSE:9942,突破上軌,113.50,113.74,115.00,,True,突破上軌,113.50,114.06,125.64,,True,突破上軌,113.50,114.00,139.28,,True
3221.TWO,TPEX:3221,突破上軌,30.10,30.02,29.15,,False,突破上軌,30.10,30.35,32.25,,True,突破上軌,30.10,28.93,38.28,,True
4126.TWO,TPEX:4126,跌破下軌,81.60,81.55,,81.20,True,跌破下軌,81.60,81.10,,75.87,True,跌破下軌,81.60,81.66,,48.68,True
4406.TWO,TPEX:4406,突破上軌,10.70,10.67,10.80,,True,突破上軌,10.70,10.61,11.80,,True,突破上軌,10.70,10.62,15.50,,True
5403.TWO,TPEX:5403,跌破下軌,111.00,110.72,,111.50,False,跌破下軌,111.00,111.78,,97.81,True,跌破下軌,111.00,110.35,,37.70,True
5523.TWO,TPEX:5523,突破上軌,30.45,30.51,30.65,,True,突破上軌,30.45,30.61,34.00,,True,突破上軌,30.45,30.51,34.00,,True
5604.TWO,TPEX:5604,突破上軌,38.40,38.26,41.50,,True,突破上軌,38.40,38.65,46.93,,True,突破上軌,38.40,38.43,78.90,,True
5704.TWO,TPEX:5704,跌破下軌,22.55,22.64,,23.05,False,跌破下軌,22.55,23.40,,22.50,True,跌破下軌,22.55,23.42,,22.50,True
6588.TWO,TPEX:6588,突破上軌,67.50,66.30,61.40,,False,突破上軌,67.50,66.37,57.20,,False,突破上軌,67.50,60.48,138.99,,True
6741.TWO,TPEX:6741,跌破下軌,66.20,66.61,,68.40,False,跌破下軌,66.20,66.99,,64.57,True,跌破下軌,66.20,66.08,,64.57,True
8096.TWO,TPEX:8096,突破上軌,76.30,76.57,70.60,,False,突破上軌,76.30,69.93,80.82,,True,突破上軌,76.30,71.07,80.82,,True
