symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1315.TW,https://tw.tradingview.com/symbols/TWSE-1315/,跌破下軌,63.90,63.51,,59.53,False,跌破下軌,63.90,63.32,,50.89,False
1342.TW,https://tw.tradingview.com/symbols/TWSE-1342/,突破上軌,100.00,100.69,126.67,,False,突破上軌,100.00,100.14,138.46,,False
1434.TW,https://tw.tradingview.com/symbols/TWSE-1434/,突破上軌,17.10,17.11,22.41,,False,突破上軌,17.10,17.14,28.36,,False
1535.TW,https://tw.tradingview.com/symbols/TWSE-1535/,跌破下軌,48.00,49.09,,46.30,False,跌破下軌,48.00,48.94,,27.04,False
1708.TW,https://tw.tradingview.com/symbols/TWSE-1708/,突破上軌,34.15,34.18,42.17,,False,突破上軌,34.15,34.36,58.47,,False
2731.TW,https://tw.tradingview.com/symbols/TWSE-2731/,突破上軌,184.00,181.26,184.00,,False,突破上軌,184.00,185.61,184.00,,False
2945.TW,https://tw.tradingview.com/symbols/TWSE-2945/,突破上軌,42.05,42.35,45.70,,False,突破上軌,42.05,42.42,95.04,,False
3576.TW,https://tw.tradingview.com/symbols/TWSE-3576/,突破上軌,15.90,15.06,15.30,,True,突破上軌,15.90,14.41,32.68,,False
4104.TW,https://tw.tradingview.com/symbols/TWSE-4104/,跌破下軌,76.40,76.32,,72.17,False,跌破下軌,76.40,75.69,,36.02,False
6715.TW,https://tw.tradingview.com/symbols/TWSE-6715/,突破上軌,146.00,142.97,210.54,,False,突破上軌,146.00,147.21,210.54,,False
8411.TW,https://tw.tradingview.com/symbols/TWSE-8411/,跌破下軌,11.95,11.90,,10.56,False,跌破下軌,11.95,11.85,,10.56,False
2230.TWO,https://tw.tradingview.com/symbols/TPEX-2230/,跌破下軌,76.40,78.23,,73.28,False,跌破下軌,76.40,78.94,,9.52,False
2949.TWO,https://tw.tradingview.com/symbols/TPEX-2949/,跌破下軌,62.00,61.86,,59.66,False,跌破下軌,62.00,62.35,,59.66,False
3508.TWO,https://tw.tradingview.com/symbols/TPEX-3508/,突破上軌,35.00,32.05,33.75,,True,突破上軌,35.00,33.65,75.50,,False
3521.TWO,https://tw.tradingview.com/symbols/TPEX-3521/,突破上軌,16.45,16.50,25.00,,False,突破上軌,16.45,16.49,29.60,,False
3526.TWO,https://tw.tradingview.com/symbols/TPEX-3526/,突破上軌,264.00,263.44,278.87,,False,突破上軌,264.00,265.50,278.87,,False
3556.TWO,https://tw.tradingview.com/symbols/TPEX-3556/,突破上軌,46.00,46.21,58.98,,False,突破上軌,46.00,46.20,86.55,,False
3615.TWO,https://tw.tradingview.com/symbols/TPEX-3615/,突破上軌,29.35,29.15,41.08,,False,突破上軌,29.35,28.75,41.08,,False
4126.TWO,https://tw.tradingview.com/symbols/TPEX-4126/,跌破下軌,80.00,79.69,,76.57,False,跌破下軌,80.00,79.30,,48.68,False
4192.TWO,https://tw.tradingview.com/symbols/TPEX-4192/,跌破下軌,22.00,22.14,,23.30,True,跌破下軌,22.00,21.83,,23.30,True
5205.TWO,https://tw.tradingview.com/symbols/TPEX-5205/,跌破下軌,27.50,27.49,,24.15,False,跌破下軌,27.50,27.65,,10.15,False
5386.TWO,https://tw.tradingview.com/symbols/TPEX-5386/,突破上軌,122.50,115.63,101.94,,True,突破上軌,122.50,116.78,101.41,,True
5487.TWO,https://tw.tradingview.com/symbols/TPEX-5487/,跌破下軌,27.65,27.75,,26.00,False,跌破下軌,27.65,27.51,,24.00,False
5523.TWO,https://tw.tradingview.com/symbols/TPEX-5523/,突破上軌,30.50,30.62,34.00,,False,突破上軌,30.50,30.65,34.00,,False
5604.TWO,https://tw.tradingview.com/symbols/TPEX-5604/,突破上軌,39.95,39.65,46.93,,False,突破上軌,39.95,39.53,78.90,,False
6651.TWO,https://tw.tradingview.com/symbols/TPEX-6651/,突破上軌,98.00,94.45,108.95,,False,突破上軌,98.00,96.62,125.82,,False
6683.TWO,https://tw.tradingview.com/symbols/TPEX-6683/,突破上軌,708.00,665.32,576.00,,True,突破上軌,708.00,677.99,576.00,,True
7709.TWO,https://tw.tradingview.com/symbols/TPEX-7709/,突破上軌,70.60,68.72,66.70,,True,突破上軌,70.60,68.39,66.70,,True
7734.TWO,https://tw.tradingview.com/symbols/TPEX-7734/,突破上軌,1355.00,1285.81,1528.58,,False,突破上軌,1355.00,1298.15,1528.58,,False
8905.TWO,https://tw.tradingview.com/symbols/TPEX-8905/,突破上軌,39.00,37.84,35.10,,True,突破上軌,39.00,37.83,35.10,,True
