symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1342.TW,https://www.tradingview.com/symbols/TWSE-1342/,突破上軌,94.50,93.99,96.20,,True,突破上軌,94.50,93.44,126.67,,True
1467.TW,https://www.tradingview.com/symbols/TWSE-1467/,突破上軌,7.63,7.52,9.61,,True,突破上軌,7.63,7.50,12.55,,True
1471.TW,https://www.tradingview.com/symbols/TWSE-1471/,突破上軌,9.60,9.38,11.65,,True,突破上軌,9.60,9.55,19.25,,True
1605.TW,https://www.tradingview.com/symbols/TWSE-1605/,突破上軌,39.65,38.71,36.75,,False,突破上軌,39.65,38.31,39.77,,True
1710.TW,https://www.tradingview.com/symbols/TWSE-1710/,突破上軌,12.90,12.78,14.30,,True,突破上軌,12.90,12.89,20.01,,True
1713.TW,https://www.tradingview.com/symbols/TWSE-1713/,突破上軌,51.50,50.78,54.50,,True,突破上軌,51.50,49.73,54.50,,True
1789.TW,https://www.tradingview.com/symbols/TWSE-1789/,突破上軌,20.65,20.03,20.55,,False,突破上軌,20.65,19.80,29.57,,True
2014.TW,https://www.tradingview.com/symbols/TWSE-2014/,突破上軌,17.20,16.94,17.45,,True,突破上軌,17.20,17.00,26.38,,True
2023.TW,https://www.tradingview.com/symbols/TWSE-2023/,突破上軌,15.20,15.16,16.20,,True,突破上軌,15.20,15.19,17.71,,True
2028.TW,https://www.tradingview.com/symbols/TWSE-2028/,突破上軌,18.85,18.57,19.85,,True,突破上軌,18.85,18.67,29.53,,True
2029.TW,https://www.tradingview.com/symbols/TWSE-2029/,突破上軌,21.70,21.66,24.45,,True,突破上軌,21.70,21.69,28.08,,True
2030.TW,https://www.tradingview.com/symbols/TWSE-2030/,突破上軌,15.70,15.46,15.34,,False,突破上軌,15.70,15.33,18.86,,True
2031.TW,https://www.tradingview.com/symbols/TWSE-2031/,突破上軌,40.40,39.82,45.80,,True,突破上軌,40.40,40.34,63.18,,True
2032.TW,https://www.tradingview.com/symbols/TWSE-2032/,突破上軌,16.30,16.16,17.28,,True,突破上軌,16.30,16.04,21.81,,True
2033.TW,https://www.tradingview.com/symbols/TWSE-2033/,突破上軌,17.10,16.77,22.45,,True,突破上軌,17.10,16.74,28.09,,True
2038.TW,https://www.tradingview.com/symbols/TWSE-2038/,突破上軌,15.60,15.40,16.86,,True,突破上軌,15.60,15.47,22.84,,True
2338.TW,https://www.tradingview.com/symbols/TWSE-2338/,突破上軌,38.95,38.51,45.35,,True,突破上軌,38.95,38.65,83.22,,True
2342.TW,https://www.tradingview.com/symbols/TWSE-2342/,突破上軌,36.15,35.11,39.60,,True,突破上軌,36.15,35.28,39.60,,True
2367.TW,https://www.tradingview.com/symbols/TWSE-2367/,突破上軌,31.65,30.83,33.00,,True,突破上軌,31.65,31.24,44.58,,True
