symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1514.TW,https://www.tradingview.com/symbols/TWSE-1514/,突破上軌,142.50,133.27,171.74,,True,突破上軌,142.50,134.38,171.74,,True
1809.TW,https://www.tradingview.com/symbols/TWSE-1809/,突破上軌,25.25,24.47,35.34,,True,突破上軌,25.25,24.10,35.34,,True
2302.TW,https://www.tradingview.com/symbols/TWSE-2302/,突破上軌,21.15,20.73,23.44,,True,突破上軌,21.15,21.10,23.44,,True
2367.TW,https://www.tradingview.com/symbols/TWSE-2367/,突破上軌,44.10,42.28,44.58,,True,突破上軌,44.10,39.93,44.58,,True
2431.TW,https://www.tradingview.com/symbols/TWSE-2431/,突破上軌,14.60,14.01,21.25,,True,突破上軌,14.60,14.27,21.25,,True
2444.TW,https://www.tradingview.com/symbols/TWSE-2444/,突破上軌,14.00,13.63,19.70,,True,突破上軌,14.00,13.52,20.90,,True
2457.TW,https://www.tradingview.com/symbols/TWSE-2457/,突破上軌,35.05,34.22,63.20,,True,突破上軌,35.05,35.02,85.12,,True
2484.TW,https://www.tradingview.com/symbols/TWSE-2484/,突破上軌,30.65,29.21,34.44,,True,突破上軌,30.65,28.35,38.27,,True
2489.TW,https://www.tradingview.com/symbols/TWSE-2489/,突破上軌,22.00,20.31,27.29,,True,突破上軌,22.00,20.04,27.29,,True
3049.TW,https://www.tradingview.com/symbols/TWSE-3049/,突破上軌,10.00,9.37,13.25,,True,突破上軌,10.00,9.16,18.83,,True
3138.TW,https://www.tradingview.com/symbols/TWSE-3138/,突破上軌,173.00,171.88,159.50,,False,突破上軌,173.00,153.60,458.97,,True
3149.TW,https://www.tradingview.com/symbols/TWSE-3149/,突破上軌,59.30,55.12,49.60,,False,突破上軌,59.30,54.39,83.52,,True
3189.TW,https://www.tradingview.com/symbols/TWSE-3189/,突破上軌,214.00,211.90,192.50,,False,突破上軌,214.00,207.33,230.22,,True
3432.TW,https://www.tradingview.com/symbols/TWSE-3432/,突破上軌,18.20,18.05,32.20,,True,突破上軌,18.20,17.53,54.19,,True
3532.TW,https://www.tradingview.com/symbols/TWSE-3532/,突破上軌,146.50,144.66,178.55,,True,突破上軌,146.50,135.61,335.02,,True
4540.TW,https://www.tradingview.com/symbols/TWSE-4540/,突破上軌,49.80,46.40,65.00,,True,突破上軌,49.80,49.72,66.99,,True
5525.TW,https://www.tradingview.com/symbols/TWSE-5525/,跌破下軌,25.90,26.10,,22.15,True,跌破下軌,25.90,26.30,,15.05,True
6271.TW,https://www.tradingview.com/symbols/TWSE-6271/,突破上軌,153.00,148.34,160.44,,True,突破上軌,153.00,151.04,240.25,,True
6285.TW,https://www.tradingview.com/symbols/TWSE-6285/,突破上軌,155.00,141.18,161.06,,True,突破上軌,155.00,150.22,161.06,,True
9955.TW,https://www.tradingview.com/symbols/TWSE-9955/,突破上軌,36.75,36.29,42.10,,True,突破上軌,36.75,35.44,42.10,,True
2949.TWO,https://www.tradingview.com/symbols/TPEX-2949/,跌破下軌,64.10,64.27,,59.66,True,跌破下軌,64.10,64.31,,59.66,True
3226.TWO,https://www.tradingview.com/symbols/TPEX-3226/,突破上軌,57.00,55.99,64.11,,True,突破上軌,57.00,54.48,72.20,,True
4533.TWO,https://www.tradingview.com/symbols/TPEX-4533/,突破上軌,35.00,33.64,51.63,,True,突破上軌,35.00,32.68,51.63,,True
4550.TWO,https://www.tradingview.com/symbols/TPEX-4550/,突破上軌,28.35,27.94,37.37,,True,突破上軌,28.35,27.95,37.37,,True
4923.TWO,https://www.tradingview.com/symbols/TPEX-4923/,突破上軌,37.75,36.54,48.48,,True,突破上軌,37.75,37.42,65.09,,True
5864.TWO,https://www.tradingview.com/symbols/TPEX-5864/,突破上軌,21.80,21.06,20.11,,False,突破上軌,21.80,20.40,26.29,,True
5904.TWO,https://www.tradingview.com/symbols/TPEX-5904/,跌破下軌,400.50,408.05,,406.78,False,跌破下軌,400.50,405.96,,212.04,True
6492.TWO,https://www.tradingview.com/symbols/TPEX-6492/,突破上軌,55.60,52.39,64.50,,True,突破上軌,55.60,54.11,206.00,,True
6751.TWO,https://www.tradingview.com/symbols/TPEX-6751/,突破上軌,66.90,65.49,79.60,,True,突破上軌,66.90,64.85,130.71,,True
6996.TWO,https://www.tradingview.com/symbols/TPEX-6996/,突破上軌,168.50,168.47,305.65,,True,突破上軌,168.50,167.74,305.65,,True
7709.TWO,https://www.tradingview.com/symbols/TPEX-7709/,突破上軌,44.95,43.37,66.70,,True,突破上軌,44.95,43.60,66.70,,True
8289.TWO,https://www.tradingview.com/symbols/TPEX-8289/,突破上軌,25.95,25.83,37.82,,True,突破上軌,25.95,24.83,46.49,,True
8436.TWO,https://www.tradingview.com/symbols/TPEX-8436/,突破上軌,155.50,149.57,155.87,,True,突破上軌,155.50,150.94,272.25,,True
8921.TWO,https://www.tradingview.com/symbols/TPEX-8921/,突破上軌,19.00,19.00,32.60,,True,突破上軌,19.00,18.98,32.60,,True
8933.TWO,https://www.tradingview.com/symbols/TPEX-8933/,突破上軌,8.30,7.77,11.85,,True,突破上軌,8.30,7.91,24.95,,True
