symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1108.TW,https://tw.tradingview.com/symbols/TWSE-1108/,突破上軌,15.05,15.17,15.60,,False,突破上軌,15.05,15.13,15.64,,False
1109.TW,https://tw.tradingview.com/symbols/TWSE-1109/,跌破下軌,15.35,15.35,,15.30,False,跌破下軌,15.35,15.30,,14.47,False
1201.TW,https://tw.tradingview.com/symbols/TWSE-1201/,跌破下軌,14.35,14.29,,14.20,False,跌破下軌,14.35,14.25,,14.20,False
1217.TW,https://tw.tradingview.com/symbols/TWSE-1217/,跌破下軌,10.45,10.38,,10.10,False,跌破下軌,10.45,10.37,,10.10,False
1218.TW,https://tw.tradingview.com/symbols/TWSE-1218/,跌破下軌,18.15,18.04,,17.85,False,跌破下軌,18.15,18.02,,16.97,False
1229.TW,https://tw.tradingview.com/symbols/TWSE-1229/,跌破下軌,45.20,45.11,,39.06,False,跌破下軌,45.20,45.12,,37.95,False
1233.TW,https://tw.tradingview.com/symbols/TWSE-1233/,突破上軌,32.05,32.33,32.50,,False,跌破下軌,32.05,31.83,,28.46,False
1234.TW,https://tw.tradingview.com/symbols/TWSE-1234/,突破上軌,36.95,37.19,40.73,,False,跌破下軌,36.95,36.73,,34.71,False
1338.TW,https://tw.tradingview.com/symbols/TWSE-1338/,跌破下軌,19.70,19.58,,19.80,True,跌破下軌,19.70,19.62,,19.90,True
1341.TW,https://tw.tradingview.com/symbols/TWSE-1341/,突破上軌,58.60,59.03,70.00,,False,突破上軌,58.60,59.19,70.00,,False
1410.TW,https://tw.tradingview.com/symbols/TWSE-1410/,跌破下軌,33.30,33.24,,33.40,True,跌破下軌,33.30,33.19,,30.06,False
1417.TW,https://tw.tradingview.com/symbols/TWSE-1417/,跌破下軌,8.55,8.58,,7.55,False,跌破下軌,8.55,8.56,,7.06,False
1438.TW,https://tw.tradingview.com/symbols/TWSE-1438/,跌破下軌,31.75,31.91,,32.00,True,跌破下軌,31.75,31.89,,32.00,True
1445.TW,https://tw.tradingview.com/symbols/TWSE-1445/,突破上軌,15.55,15.31,16.65,,False,突破上軌,15.55,15.59,24.24,,False
