symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1301.TW,https://www.tradingview.com/symbols/TWSE-1301/,突破上軌,49.30,48.19,72.14,,True,突破上軌,49.30,48.35,103.43,,True
1304.TW,https://www.tradingview.com/symbols/TWSE-1304/,突破上軌,12.30,12.27,18.16,,True,突破上軌,12.30,12.23,36.95,,True
1326.TW,https://www.tradingview.com/symbols/TWSE-1326/,突破上軌,44.00,41.56,55.75,,True,突破上軌,44.00,42.13,81.92,,True
1434.TW,https://www.tradingview.com/symbols/TWSE-1434/,突破上軌,17.05,16.97,22.74,,True,突破上軌,17.05,16.87,28.36,,True
1503.TW,https://www.tradingview.com/symbols/TWSE-1503/,突破上軌,241.50,239.64,345.56,,True,突破上軌,241.50,236.47,345.56,,True
1708.TW,https://www.tradingview.com/symbols/TWSE-1708/,突破上軌,34.10,34.08,42.17,,True,突破上軌,34.10,33.88,58.47,,True
2014.TW,https://www.tradingview.com/symbols/TWSE-2014/,突破上軌,18.75,18.28,26.15,,True,突破上軌,18.75,18.18,56.90,,True
2028.TW,https://www.tradingview.com/symbols/TWSE-2028/,突破上軌,20.45,20.34,29.53,,True,突破上軌,20.45,20.37,55.56,,True
2049.TW,https://www.tradingview.com/symbols/TWSE-2049/,突破上軌,257.50,250.99,367.17,,True,突破上軌,257.50,251.53,395.98,,True
2431.TW,https://www.tradingview.com/symbols/TWSE-2431/,突破上軌,15.30,15.23,21.25,,True,突破上軌,15.30,14.71,21.25,,True
2486.TW,https://www.tradingview.com/symbols/TWSE-2486/,突破上軌,128.00,121.13,150.55,,True,突破上軌,128.00,120.13,150.55,,True
2945.TW,https://www.tradingview.com/symbols/TWSE-2945/,突破上軌,42.40,41.49,44.37,,True,突破上軌,42.40,41.37,95.04,,True
6133.TW,https://www.tradingview.com/symbols/TWSE-6133/,突破上軌,26.90,26.59,27.38,,True,突破上軌,26.90,25.23,30.74,,True
6202.TW,https://www.tradingview.com/symbols/TWSE-6202/,突破上軌,48.95,47.26,64.40,,True,突破上軌,48.95,48.80,122.66,,True
6552.TW,https://www.tradingview.com/symbols/TWSE-6552/,突破上軌,31.80,30.36,63.94,,True,突破上軌,31.80,31.45,75.06,,True
3289.TWO,https://www.tradingview.com/symbols/TPEX-3289/,突破上軌,140.00,138.53,189.91,,True,突破上軌,140.00,139.58,189.91,,True
3556.TWO,https://www.tradingview.com/symbols/TPEX-3556/,突破上軌,45.00,43.89,58.98,,True,突破上軌,45.00,44.19,86.55,,True
4121.TWO,https://www.tradingview.com/symbols/TPEX-4121/,突破上軌,19.35,18.45,27.73,,True,突破上軌,19.35,18.53,34.54,,True
4406.TWO,https://www.tradingview.com/symbols/TPEX-4406/,突破上軌,10.55,10.52,11.80,,True,突破上軌,10.55,10.53,15.50,,True
4528.TWO,https://www.tradingview.com/symbols/TPEX-4528/,突破上軌,21.20,21.04,30.93,,True,突破上軌,21.20,21.05,46.33,,True
4533.TWO,https://www.tradingview.com/symbols/TPEX-4533/,突破上軌,38.70,38.70,51.63,,True,突破上軌,38.70,35.22,51.63,,True
4534.TWO,https://www.tradingview.com/symbols/TPEX-4534/,突破上軌,24.95,24.12,31.85,,True,突破上軌,24.95,24.26,31.85,,True
5704.TWO,https://www.tradingview.com/symbols/TPEX-5704/,跌破下軌,23.15,23.80,,22.50,True,跌破下軌,23.15,23.81,,22.50,True
5864.TWO,https://www.tradingview.com/symbols/TPEX-5864/,突破上軌,23.90,23.86,22.15,,False,突破上軌,23.90,21.80,26.29,,True
6492.TWO,https://www.tradingview.com/symbols/TPEX-6492/,突破上軌,59.00,58.26,64.50,,True,突破上軌,59.00,56.18,206.00,,True
7709.TWO,https://www.tradingview.com/symbols/TPEX-7709/,突破上軌,57.80,53.56,66.70,,True,突破上軌,57.80,52.79,66.70,,True
8096.TWO,https://www.tradingview.com/symbols/TPEX-8096/,突破上軌,69.40,65.04,80.82,,True,突破上軌,69.40,66.69,80.82,,True
