symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1418.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A1418,跌破下軌,19.10,19.19,,19.00,True,跌破下軌,19.10,19.20,,19.50,False
1439.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A1439,突破上軌,29.25,28.78,32.75,,True,突破上軌,29.25,29.05,36.30,,True
1587.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A1587,突破上軌,49.70,49.42,48.70,,False,突破上軌,49.70,48.27,76.12,,True
2707.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2707,跌破下軌,188.50,188.63,,177.53,True,跌破下軌,188.50,188.70,,167.75,True
3049.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3049,突破上軌,7.92,7.73,8.25,,True,突破上軌,7.92,7.77,13.25,,True
5522.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A5522,突破上軌,71.80,69.88,72.96,,True,突破上軌,71.80,69.15,91.39,,True
6164.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A6164,突破上軌,13.30,12.97,12.36,,False,突破上軌,13.30,12.46,19.51,,True
6916.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A6916,突破上軌,21.30,20.65,29.82,,True,突破上軌,21.30,20.48,33.27,,True
9928.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A9928,突破上軌,20.70,20.48,19.45,,False,突破上軌,20.70,20.00,26.15,,True
3152.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3152,突破上軌,142.00,140.66,148.40,,True,突破上軌,142.00,136.63,236.12,,True
3467.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3467,突破上軌,49.95,48.77,72.02,,True,突破上軌,49.95,48.28,91.15,,True
3499.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3499,突破上軌,16.70,16.51,17.80,,True,突破上軌,16.70,16.37,26.85,,True
3522.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3522,突破上軌,17.95,17.68,19.70,,True,突破上軌,17.95,17.67,31.00,,True
5353.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5353,突破上軌,26.95,26.39,30.78,,True,突破上軌,26.95,26.70,40.20,,True
5450.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5450,突破上軌,14.35,14.09,17.57,,True,突破上軌,14.35,14.27,21.73,,True
6486.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6486,突破上軌,83.30,82.91,81.70,,False,突破上軌,83.30,82.93,88.17,,True
6568.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6568,突破上軌,128.00,125.16,148.00,,True,突破上軌,128.00,126.01,174.10,,True
8916.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A8916,突破上軌,50.50,50.32,55.56,,True,突破上軌,50.50,50.37,57.41,,True
