symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1735.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A1735,突破上軌,17.65,17.10,18.49,,True,突破上軌,16.05,15.74,28.16,,True
3030.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3030,突破上軌,192.50,192.13,221.00,,True,突破上軌,188.00,183.84,221.00,,True
3057.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3057,突破上軌,20.95,20.45,20.74,,False,突破上軌,19.05,18.91,27.50,,True
2596.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A2596,突破上軌,38.80,38.34,38.32,,False,突破上軌,37.30,36.78,53.38,,True
6218.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6218,突破上軌,23.90,23.30,23.20,,False,突破上軌,21.75,21.50,39.40,,True
