symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1203.TW,https://tw.tradingview.com/symbols/TWSE-1203/,跌破下軌,39.45,39.34,,33.24,False,突破上軌,39.85,40.17,56.49,,False
1342.TW,https://tw.tradingview.com/symbols/TWSE-1342/,突破上軌,100.00,100.69,126.67,,False,突破上軌,102.00,101.26,138.46,,False
1432.TW,https://tw.tradingview.com/symbols/TWSE-1432/,突破上軌,18.90,18.81,25.00,,False,突破上軌,19.15,19.26,25.00,,False
1434.TW,https://tw.tradingview.com/symbols/TWSE-1434/,突破上軌,17.10,17.11,22.41,,False,突破上軌,17.75,17.51,28.36,,False
1535.TW,https://tw.tradingview.com/symbols/TWSE-1535/,跌破下軌,48.00,49.09,,46.30,False,跌破下軌,46.50,47.96,,27.04,False
1590.TW,https://tw.tradingview.com/symbols/TWSE-1590/,突破上軌,1195.00,1193.57,1231.14,,False,突破上軌,1215.00,1221.95,1231.14,,False
1708.TW,https://tw.tradingview.com/symbols/TWSE-1708/,突破上軌,34.15,34.18,42.17,,False,突破上軌,35.00,34.82,58.47,,False
2436.TW,https://tw.tradingview.com/symbols/TWSE-2436/,突破上軌,53.50,53.90,67.93,,False,突破上軌,56.80,56.20,101.79,,False
2486.TW,https://tw.tradingview.com/symbols/TWSE-2486/,突破上軌,136.00,135.04,150.55,,False,突破上軌,142.00,140.91,150.55,,False
2897.TW,https://tw.tradingview.com/symbols/TWSE-2897/,突破上軌,9.30,9.26,10.12,,False,突破上軌,9.35,9.43,10.12,,False
3533.TW,https://tw.tradingview.com/symbols/TWSE-3533/,突破上軌,1595.00,1575.19,1957.81,,False,突破上軌,1610.00,1622.26,1957.81,,False
3576.TW,https://tw.tradingview.com/symbols/TWSE-3576/,突破上軌,15.90,15.06,15.30,,True,突破上軌,15.15,13.92,32.68,,False
4104.TW,https://tw.tradingview.com/symbols/TWSE-4104/,跌破下軌,76.40,76.32,,72.17,False,跌破下軌,76.10,75.54,,36.02,False
6830.TW,https://tw.tradingview.com/symbols/TWSE-6830/,突破上軌,205.00,202.15,230.51,,False,突破上軌,225.50,225.24,230.51,,False
9944.TW,https://tw.tradingview.com/symbols/TWSE-9944/,跌破下軌,16.75,16.59,,14.44,False,跌破下軌,16.65,16.51,,14.44,False
2230.TWO,https://tw.tradingview.com/symbols/TPEX-2230/,跌破下軌,76.40,78.23,,73.28,False,跌破下軌,68.80,74.11,,9.52,False
3234.TWO,https://tw.tradingview.com/symbols/TPEX-3234/,突破上軌,64.70,64.81,64.60,,True,突破上軌,71.10,69.15,64.60,,True
3508.TWO,https://tw.tradingview.com/symbols/TPEX-3508/,突破上軌,35.00,32.05,33.75,,True,突破上軌,32.60,32.24,75.50,,False
3521.TWO,https://tw.tradingview.com/symbols/TPEX-3521/,突破上軌,16.45,16.50,25.00,,False,突破上軌,16.80,16.69,29.60,,False
3526.TWO,https://tw.tradingview.com/symbols/TPEX-3526/,突破上軌,264.00,263.44,278.87,,False,突破上軌,286.00,278.57,278.87,,True
3615.TWO,https://tw.tradingview.com/symbols/TPEX-3615/,突破上軌,29.35,29.15,41.08,,False,突破上軌,27.80,27.87,41.08,,False
4126.TWO,https://tw.tradingview.com/symbols/TPEX-4126/,跌破下軌,80.00,79.69,,76.57,False,跌破下軌,79.80,79.20,,48.68,False
4192.TWO,https://tw.tradingview.com/symbols/TPEX-4192/,跌破下軌,22.00,22.14,,23.30,True,跌破下軌,22.00,21.83,,23.30,True
5205.TWO,https://tw.tradingview.com/symbols/TPEX-5205/,跌破下軌,27.50,27.49,,24.15,False,跌破下軌,27.35,27.57,,10.15,False
5386.TWO,https://tw.tradingview.com/symbols/TPEX-5386/,突破上軌,122.50,115.63,101.94,,True,突破上軌,134.50,124.34,101.41,,True
5487.TWO,https://tw.tradingview.com/symbols/TPEX-5487/,跌破下軌,27.65,27.75,,26.00,False,跌破下軌,27.65,27.51,,24.00,False
5523.TWO,https://tw.tradingview.com/symbols/TPEX-5523/,突破上軌,30.50,30.62,34.00,,False,突破上軌,30.50,30.65,34.00,,False
5604.TWO,https://tw.tradingview.com/symbols/TPEX-5604/,突破上軌,39.95,39.65,46.93,,False,突破上軌,39.55,39.27,78.90,,False
6510.TWO,https://tw.tradingview.com/symbols/TPEX-6510/,突破上軌,3700.00,3695.87,3465.00,,True,突破上軌,3990.00,4022.99,3465.00,,True
6651.TWO,https://tw.tradingview.com/symbols/TPEX-6651/,突破上軌,98.00,94.45,108.95,,False,突破上軌,99.30,97.39,125.82,,False
6683.TWO,https://tw.tradingview.com/symbols/TPEX-6683/,突破上軌,708.00,665.32,576.00,,True,突破上軌,719.00,684.63,576.00,,True
7709.TWO,https://tw.tradingview.com/symbols/TPEX-7709/,突破上軌,70.60,68.72,66.70,,True,突破上軌,68.30,67.06,66.70,,True
7734.TWO,https://tw.tradingview.com/symbols/TPEX-7734/,突破上軌,1355.00,1285.81,1528.58,,False,突破上軌,1490.00,1386.91,1528.58,,False
8147.TWO,https://tw.tradingview.com/symbols/TPEX-8147/,突破上軌,120.00,116.87,160.50,,False,突破上軌,132.00,130.09,157.58,,False
8905.TWO,https://tw.tradingview.com/symbols/TPEX-8905/,突破上軌,39.00,37.84,35.10,,True,突破上軌,38.85,37.74,35.10,,True
