symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1605.TW,https://www.tradingview.com/symbols/TWSE-1605/,突破上軌,39.65,38.31,39.77,,True,突破上軌,39.65,38.92,54.11,,True
1711.TW,https://www.tradingview.com/symbols/TWSE-1711/,突破上軌,22.30,21.83,28.97,,True,突破上軌,22.30,22.02,30.39,,True
1713.TW,https://www.tradingview.com/symbols/TWSE-1713/,突破上軌,51.50,49.73,54.50,,True,突破上軌,51.50,51.44,52.22,,True
1789.TW,https://www.tradingview.com/symbols/TWSE-1789/,突破上軌,20.65,19.80,29.57,,True,突破上軌,20.65,20.38,34.29,,True
2030.TW,https://www.tradingview.com/symbols/TWSE-2030/,突破上軌,15.70,15.33,18.86,,True,突破上軌,15.70,15.49,41.37,,True
2409.TW,https://www.tradingview.com/symbols/TWSE-2409/,突破上軌,16.70,15.47,18.60,,True,突破上軌,16.70,15.74,32.45,,True
2489.TW,https://www.tradingview.com/symbols/TWSE-2489/,突破上軌,16.75,16.52,27.29,,True,突破上軌,16.75,16.48,27.29,,True
3006.TW,https://www.tradingview.com/symbols/TWSE-3006/,突破上軌,146.50,144.17,129.50,,False,突破上軌,146.50,142.75,182.69,,True
3481.TW,https://www.tradingview.com/symbols/TWSE-3481/,突破上軌,22.15,20.86,18.50,,False,突破上軌,22.15,20.72,29.45,,True
3532.TW,https://www.tradingview.com/symbols/TWSE-3532/,突破上軌,119.00,114.14,178.55,,True,突破上軌,119.00,118.70,335.02,,True
3669.TW,https://www.tradingview.com/symbols/TWSE-3669/,突破上軌,38.70,37.23,57.56,,True,突破上軌,38.70,38.18,75.48,,True
4720.TW,https://www.tradingview.com/symbols/TWSE-4720/,突破上軌,18.90,18.20,23.44,,True,突破上軌,18.90,18.20,23.44,,True
5538.TW,https://www.tradingview.com/symbols/TWSE-5538/,突破上軌,32.30,31.91,38.88,,True,突破上軌,32.30,31.80,55.29,,True
6116.TW,https://www.tradingview.com/symbols/TWSE-6116/,突破上軌,10.60,9.80,12.70,,True,突破上軌,10.60,9.86,27.54,,True
8438.TW,https://www.tradingview.com/symbols/TWSE-8438/,突破上軌,49.55,48.77,52.26,,True,突破上軌,49.55,46.95,58.53,,True
3374.TWO,https://www.tradingview.com/symbols/TPEX-3374/,突破上軌,168.00,163.80,277.91,,True,突破上軌,168.00,165.22,277.91,,True
3623.TWO,https://www.tradingview.com/symbols/TPEX-3623/,突破上軌,28.75,27.99,51.00,,True,突破上軌,28.75,28.32,54.70,,True
3680.TWO,https://www.tradingview.com/symbols/TPEX-3680/,突破上軌,419.00,404.70,592.56,,True,突破上軌,419.00,411.10,592.55,,True
4130.TWO,https://www.tradingview.com/symbols/TPEX-4130/,突破上軌,32.00,31.21,28.75,,False,突破上軌,32.00,31.30,39.13,,True
5228.TWO,https://www.tradingview.com/symbols/TPEX-5228/,突破上軌,21.10,20.73,25.90,,True,突破上軌,21.10,20.91,33.36,,True
5291.TWO,https://www.tradingview.com/symbols/TPEX-5291/,突破上軌,35.10,33.41,30.10,,False,突破上軌,35.10,33.05,44.35,,True
5351.TWO,https://www.tradingview.com/symbols/TPEX-5351/,突破上軌,61.00,59.88,57.60,,False,突破上軌,61.00,59.35,95.90,,True
6485.TWO,https://www.tradingview.com/symbols/TPEX-6485/,突破上軌,102.00,98.02,102.89,,True,突破上軌,102.00,98.62,166.67,,True
