symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
2441.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2441,突破上軌,86.20,85.13,87.00,,True,突破上軌,86.20,83.64,79.50,,False
2883.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2883,突破上軌,17.45,17.43,17.63,,True,突破上軌,17.45,17.44,17.63,,True
3054.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3054,突破上軌,27.45,26.83,27.25,,False,突破上軌,27.45,26.72,35.00,,True
3138.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3138,突破上軌,107.50,105.51,155.43,,True,突破上軌,107.50,106.96,458.97,,True
3229.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3229,突破上軌,26.95,26.40,36.00,,True,突破上軌,26.95,23.81,36.00,,True
5522.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A5522,突破上軌,71.80,69.15,91.39,,True,突破上軌,71.80,71.45,91.39,,True
6164.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A6164,突破上軌,13.30,12.46,19.51,,True,突破上軌,13.30,12.91,21.31,,True
6443.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A6443,突破上軌,23.10,21.84,32.56,,True,突破上軌,23.10,21.38,48.58,,True
9912.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A9912,突破上軌,12.45,12.43,15.50,,True,突破上軌,12.45,12.42,15.50,,True
9928.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A9928,突破上軌,20.70,20.00,26.15,,True,突破上軌,20.70,20.20,36.30,,True
3152.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3152,突破上軌,142.00,136.63,236.12,,True,突破上軌,142.00,140.92,521.89,,True
5432.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5432,突破上軌,168.00,167.42,317.96,,True,突破上軌,168.00,161.26,317.96,,True
6244.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6244,突破上軌,21.20,20.48,34.26,,True,突破上軌,21.20,21.09,41.45,,True
6486.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6486,突破上軌,83.30,82.93,88.17,,True,突破上軌,83.30,83.21,88.17,,True
6870.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6870,突破上軌,233.00,231.62,286.72,,True,突破上軌,233.00,232.23,286.72,,True
6967.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6967,突破上軌,76.80,75.71,78.38,,True,突破上軌,76.80,73.50,78.38,,True
