symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
2025.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2025,突破上軌,11.30,10.96,17.05,,True,突破上軌,11.30,10.91,23.86,,True
2472.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2472,突破上軌,117.50,114.63,118.00,,True,突破上軌,117.50,116.13,118.00,,True
2911.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2911,突破上軌,5.64,5.63,6.29,,True,突破上軌,5.64,5.55,12.44,,True
3048.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3048,突破上軌,45.70,44.99,47.10,,True,突破上軌,45.70,44.82,53.33,,True
3308.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3308,突破上軌,22.10,21.72,20.20,,False,突破上軌,22.10,20.33,47.74,,True
4720.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A4720,突破上軌,16.60,16.41,16.60,,False,突破上軌,16.60,16.17,23.44,,True
4912.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A4912,突破上軌,105.50,103.34,97.60,,False,突破上軌,105.50,101.69,160.51,,True
5288.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A5288,突破上軌,147.00,145.42,146.52,,False,突破上軌,147.00,145.71,226.35,,True
6192.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A6192,突破上軌,111.50,111.08,115.50,,True,突破上軌,111.50,110.83,124.49,,True
6834.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A6834,突破上軌,29.75,29.58,39.18,,True,突破上軌,29.75,29.54,52.18,,True
8940.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A8940,突破上軌,22.25,21.75,24.20,,True,突破上軌,22.25,22.19,34.90,,True
6949.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A6949,跌破下軌,308.50,316.30,,112.50,True,跌破下軌,308.50,320.73,,70.60,True
1742.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A1742,突破上軌,14.95,14.58,17.45,,True,突破上軌,14.95,14.70,20.80,,True
3289.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3289,突破上軌,126.50,123.62,134.73,,True,突破上軌,126.50,123.03,191.50,,True
3360.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3360,突破上軌,15.20,14.75,14.40,,False,突破上軌,15.20,14.70,24.25,,True
3402.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3402,突破上軌,142.50,140.09,157.50,,True,突破上軌,142.50,140.03,157.50,,True
3455.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3455,突破上軌,119.50,118.47,112.50,,False,突破上軌,119.50,113.41,139.70,,True
3516.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3516,突破上軌,21.40,21.00,22.33,,True,突破上軌,21.40,21.04,32.68,,True
3615.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3615,突破上軌,26.40,26.36,28.05,,True,突破上軌,26.40,26.16,41.08,,True
3623.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3623,突破上軌,26.00,25.24,27.35,,True,突破上軌,26.00,24.92,51.00,,True
4550.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A4550,突破上軌,26.00,25.77,27.40,,True,突破上軌,26.00,25.67,37.37,,True
4749.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A4749,突破上軌,940.00,925.98,949.00,,True,突破上軌,940.00,934.79,949.00,,True
5263.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5263,突破上軌,113.50,110.03,110.38,,False,突破上軌,113.50,108.73,202.83,,True
5276.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5276,突破上軌,16.10,15.81,18.40,,True,突破上軌,16.10,15.90,24.56,,True
5351.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5351,突破上軌,55.80,55.75,52.40,,False,突破上軌,55.80,52.74,57.60,,True
5452.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5452,突破上軌,30.90,30.55,32.96,,True,突破上軌,30.90,29.13,45.48,,True
5704.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A5704,突破上軌,29.40,28.98,29.95,,True,突破上軌,29.40,28.97,52.63,,True
6204.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6204,突破上軌,85.00,84.92,87.10,,True,突破上軌,85.00,84.75,169.20,,True
6461.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6461,突破上軌,19.55,19.28,23.00,,True,突破上軌,19.55,18.82,34.60,,True
8423.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A8423,突破上軌,18.30,18.28,18.76,,True,突破上軌,18.30,18.22,28.42,,True
