symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1528.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A1528,突破上軌,20.05,19.02,23.75,,True,突破上軌,20.05,19.65,23.75,,True
1735.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A1735,突破上軌,19.20,18.17,28.16,,True,突破上軌,19.20,18.81,28.16,,True
2069.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2069,突破上軌,18.00,17.91,19.61,,True,突破上軌,18.00,17.79,38.44,,True
2413.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2413,突破上軌,42.55,40.88,35.55,,False,突破上軌,42.55,38.20,43.52,,True
2548.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A2548,突破上軌,120.50,119.38,155.54,,True,突破上軌,120.50,117.29,155.54,,True
3057.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3057,突破上軌,21.50,21.39,27.50,,True,突破上軌,21.50,20.64,30.03,,True
3138.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3138,突破上軌,110.00,109.25,155.43,,True,突破上軌,110.00,108.39,458.97,,True
3701.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A3701,突破上軌,52.30,48.69,69.45,,True,突破上軌,52.30,52.19,94.59,,True
5522.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A5522,突破上軌,80.80,80.31,91.39,,True,突破上軌,80.80,77.03,91.39,,True
6152.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A6152,突破上軌,11.35,11.12,20.10,,True,突破上軌,11.35,11.17,20.10,,True
6443.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A6443,突破上軌,29.10,27.48,32.56,,True,突破上軌,29.10,25.61,48.58,,True
9928.TW,https://tw.tradingview.com/chart/?symbol=TWSE%3A9928,突破上軌,20.20,19.93,26.15,,True,突破上軌,20.20,19.89,36.30,,True
3152.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3152,突破上軌,152.50,147.05,236.12,,True,突破上軌,152.50,147.30,521.89,,True
3265.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3265,突破上軌,122.50,119.20,136.77,,True,突破上軌,122.50,117.57,136.77,,True
3354.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3354,突破上軌,28.35,26.84,35.07,,True,突破上軌,28.35,25.63,35.07,,True
3372.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3372,突破上軌,21.95,21.92,26.80,,True,突破上軌,21.95,21.09,29.59,,True
3390.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3390,突破上軌,24.80,24.54,37.13,,True,突破上軌,24.80,24.63,37.13,,True
3499.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A3499,突破上軌,20.20,19.03,26.85,,True,突破上軌,20.20,19.16,30.00,,True
4542.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A4542,突破上軌,94.50,93.69,120.00,,True,突破上軌,94.50,88.97,120.00,,True
6026.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6026,突破上軌,13.20,12.98,14.58,,True,突破上軌,13.20,13.17,15.10,,True
6127.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6127,突破上軌,35.95,35.28,37.77,,True,突破上軌,35.95,34.66,37.77,,True
6134.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6134,突破上軌,28.70,28.45,44.30,,True,突破上軌,28.70,28.33,44.30,,True
6218.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6218,突破上軌,27.10,25.48,39.40,,True,突破上軌,27.10,25.48,39.40,,True
6236.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6236,跌破下軌,21.75,23.32,,21.35,True,跌破下軌,21.75,22.58,,7.75,True
6244.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6244,突破上軌,22.65,21.81,34.26,,True,突破上軌,22.65,21.96,41.45,,True
6259.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A6259,突破上軌,18.85,18.81,23.10,,True,突破上軌,18.85,18.28,40.90,,True
8102.TWO,https://tw.tradingview.com/chart/?symbol=TPEX%3A8102,跌破下軌,56.30,59.11,,62.14,False,跌破下軌,56.30,58.99,,40.60,True
